@relation train1.5.txt

@attribute Area numeric
@attribute Perim. numeric
@attribute Major numeric
@attribute Minor numeric
@attribute Angle numeric
@attribute target {rods,puntcua,networks}

@data
38.9,26.9,10.6,4.68,84,rods
27,25.4,8.75,3.93,85.9,puntcua
35.5,29.2,12.8,3.53,101,rods
28.7,26.2,11,3.33,113,puntcua
40.6,34.6,10.3,4.99,65.6,rods
25.4,19.9,6.67,4.84,81,puntcua
27,26.2,6.73,5.11,127,puntcua
25.4,22.8,7.26,4.45,165,puntcua
32.1,24.3,10.7,3.83,171,puntcua
27,21,8.08,4.26,112,puntcua
25.4,28,9.29,3.48,66.7,puntcua
28.7,22.5,9.4,3.89,179,puntcua
32.1,27.3,11.4,3.59,115,puntcua
40.6,31.7,11.7,4.4,161,rods
28.7,29.1,11.8,3.1,149,rods
32.1,32.8,13.5,3.03,157,rods
38.9,39.8,10.9,4.56,33.7,rods
25.4,26.5,8.37,3.86,65.2,puntcua
40.6,40.9,7.87,6.56,131,rods
35.5,37.2,10.1,4.46,65.4,rods
30.4,24.3,9.79,3.96,167,puntcua
35.5,40.9,8.43,5.36,109,rods
30.4,33.5,13.3,2.9,140,rods
27,28.3,9.93,3.47,114,puntcua
35.5,31.4,12.6,3.6,73.2,rods
27,34.3,9.73,3.54,54,rods
27,20.7,9.79,3.52,168,puntcua
35.5,29.9,8.96,5.04,152,rods
27,20.7,9.2,3.74,7.7,puntcua
25.4,19.9,7.29,4.43,68,puntcua
38.9,34.3,14.6,3.39,166,rods
32.1,30.6,9.42,4.34,169,rods
25.4,20.7,8.37,3.86,97.8,puntcua
30.4,36.9,11.4,3.4,173,rods
32.1,27.3,6.95,5.88,97.9,puntcua
30.4,23.3,10.1,3.84,76.1,puntcua
27,38.7,8.92,3.86,20.2,rods
35.5,30.6,11,4.12,151,rods
35.5,45.8,12.4,3.66,109,rods
35.5,38.7,14.2,3.19,154,rods
37.2,46.4,11.9,3.98,3.41,rods
27,31.4,9.97,3.45,64.7,rods
25.4,29.1,8.33,3.88,88.9,rods
27,26.5,7.81,4.41,66.5,puntcua
35.5,38,12,3.78,111,rods
35.5,39.8,11.7,3.87,90.4,rods
33.8,32.5,12.1,3.57,103,rods
27,37.2,9.39,3.67,125,rods
37.2,42,9.79,4.84,106,rods
32.1,34.6,13.1,3.11,157,rods
27,32.8,11.5,3,43.8,rods
28.7,28.3,7.56,4.84,88.4,puntcua
25.4,26.2,8.23,3.92,99.2,puntcua
38.9,39.1,11.9,4.15,128,rods
28.7,19.1,7.8,4.69,164,puntcua
27,26.5,8.84,3.89,116,puntcua
30.4,32.5,10.8,3.58,78.5,rods
37.2,41.7,9.02,5.25,7.8,rods
25.4,43.5,9.18,3.52,130,rods
28.7,35.4,9.56,3.83,4.05,rods
28.7,31.7,7.67,4.77,107,rods
32.1,42.7,10.5,3.89,70,rods
25.4,29.4,7.07,4.56,34,rods
25.4,33.2,6.78,4.76,29.9,rods
33.8,29.1,11.6,3.72,51.5,rods
25.4,22.8,6.9,4.68,41.7,puntcua
27,24.3,9.32,3.7,19.6,puntcua
27,39.1,8.97,3.84,170,rods
27,26.5,8.94,3.85,36.2,puntcua
30.4,33.5,9.45,4.1,38.7,rods
27,33.5,7.57,4.55,43.8,rods
30.4,24.3,7.88,4.91,174,puntcua
30.4,32.8,11.1,3.48,62.6,rods
30.4,37.2,9.99,3.88,176,rods
25.4,32,8.13,3.97,174,rods
28.7,29.1,6.3,5.8,96.5,rods
37.2,33.5,9.58,4.94,37.7,rods
32.1,33.9,11.1,3.67,119,rods
30.4,35.4,11.2,3.47,29.6,rods
25.4,30.9,9.73,3.32,42.5,rods
28.7,36.9,8.02,4.56,24.3,rods
25.4,36.1,10.6,3.05,71.9,rods
25.4,30.2,7.23,4.46,77.1,rods
27,23.6,7.46,4.62,91.4,puntcua
35.5,35.1,11.4,3.97,91.8,rods
35.5,39.8,10.2,4.42,105,rods
27,28.3,7.46,4.62,92.1,puntcua
28.7,29.1,7.22,5.06,95.4,rods
30.4,35.4,9.52,4.07,166,rods
30.4,36.5,9.87,3.92,127,rods
28.7,30.6,8.34,4.39,168,rods
28.7,40.9,12,3.06,41.7,rods
35.5,34.6,10.2,4.45,40.2,rods
37.2,57.8,7.29,6.49,141,rods
37.2,34.6,9.88,4.79,160,rods
30.4,37.2,11.2,3.45,177,rods
38.9,46.1,10.6,4.66,125,rods
30.4,27.3,8.23,4.7,66,puntcua
35.5,44.3,10.3,4.4,3.21,rods
37.2,33.5,8.45,5.6,22.6,rods
28.7,35.7,10.6,3.46,70.4,rods
30.4,49,11.5,3.37,179,rods
25.4,31.4,10.6,3.03,165,rods
40.6,38,10.6,4.86,64,rods
32.1,25.4,8.78,4.65,57,puntcua
33.8,38.7,11.3,3.82,18.5,rods
37.2,36.6,14.2,3.34,74.3,rods
37.2,45.3,11.9,3.97,176,rods
33.8,30.6,13.6,3.17,26.9,rods
35.5,47.9,11,4.12,30,rods
40.6,46.4,14.5,3.56,56.6,rods
25.4,29.1,8.68,3.72,155,rods
28.7,34.6,9,4.06,153,rods
27,20.2,6.31,5.46,4.21,puntcua
25.4,40.6,10.6,3.03,42.2,rods
25.4,24.7,9.22,3.5,37.8,puntcua
28.7,39.8,9.98,3.66,47.3,rods
30.4,28,8.53,4.54,20,puntcua
27,30.6,8.35,4.12,58.8,rods
27,38.7,10.3,3.34,59.3,rods
25.4,25.4,6.07,5.32,62,puntcua
35.5,26.2,9.6,4.71,15.5,rods
33.8,41.7,13.6,3.16,146,rods
33.8,37.2,10.9,3.96,119,rods
40.6,35.4,10.2,5.05,28.9,rods
25.4,18.8,7.35,4.39,17.1,puntcua
35.5,39.8,9.86,4.58,38.9,rods
33.8,44.6,10.4,4.15,60.6,rods
27,31.7,10.9,3.16,75.9,rods
25.4,21,7.8,4.14,26.9,puntcua
33.8,32.8,10.1,4.26,22.6,rods
32.1,32.8,9.38,4.36,107,rods
28.7,25.9,6.79,5.39,23.4,puntcua
32.1,51.6,9.82,4.16,94.6,rods
25.4,40.1,7.54,4.28,33.5,rods
30.4,30.9,10.2,3.79,39.3,rods
32.1,43.8,8.95,4.57,173,rods
28.7,33.5,9.37,3.9,125,rods
38.9,27.3,10.5,4.7,43.3,rods
37.2,31.7,10.8,4.39,38.2,rods
28.7,28,9.84,3.72,28.7,puntcua
30.4,48.2,9.68,4,12,rods
32.1,40.1,8.42,4.86,53.8,rods
25.4,24.7,6.74,4.79,132,puntcua
35.5,24.7,10.3,4.39,30.1,rods
25.4,25.4,7.97,4.05,50.9,puntcua
35.5,32.8,10.4,4.33,41.6,rods
35.5,29.5,9.3,4.86,88.8,rods
30.4,30.9,9.63,4.02,127,rods
32.1,35.4,8.48,4.82,118,rods
37.2,41.7,11.8,4.01,14.1,rods
28.7,28.3,10.2,3.59,54.7,puntcua
40.6,37.2,10.5,4.93,48.3,rods
38.9,40.3,13.4,3.69,92.8,rods
27,24.3,7.68,4.48,28.4,puntcua
35.5,41.7,11.6,3.91,33.9,rods
25.4,31.7,11.7,2.77,18.8,rods
38.9,36.1,12.7,3.89,55.6,rods
33.8,41.2,8.1,5.31,17.9,rods
25.4,35.4,9.24,3.49,150,rods
27,21.7,9.04,3.81,4.75,puntcua
40.6,31.7,11.3,4.56,167,rods
35.5,31.7,10.5,4.32,32.9,rods
27,35.4,8.98,3.83,76.5,rods
25.4,29.9,8.14,3.97,81.3,rods
28.7,23.6,8.06,4.54,107,puntcua
30.4,31.7,14.6,2.65,30,rods
27,27.3,8.44,4.08,7.3,puntcua
25.4,19.9,7.25,4.45,87.3,puntcua
25.4,27.3,8.45,3.82,18.7,puntcua
27,33.5,11.6,2.98,71,rods
32.1,34.6,10.5,3.9,1.38,rods
33.8,36.1,11.2,3.84,114,rods
30.4,21.7,8.54,4.54,21.1,puntcua
25.4,30.9,7.98,4.05,43.3,rods
25.4,31.7,8.69,3.71,6.23,rods
37.2,40.9,7.93,5.97,6.78,rods
30.4,39.4,10.2,3.81,95.2,rods
27,21.7,7.37,4.67,63.7,puntcua
25.4,35.7,8.9,3.63,107,rods
33.8,32,9.42,4.57,40.1,rods
38.9,46.1,13.2,3.74,14.3,rods
30.4,40.1,9.36,4.14,38.6,rods
37.2,35.1,11,4.29,175,rods
35.5,43.5,8.14,5.55,96.8,rods
40.6,39.1,8.91,5.79,135,rods
28.7,28,9.12,4.01,161,puntcua
30.4,21.7,8.48,4.57,14.6,puntcua
35.5,39.1,10.3,4.38,95.5,rods
30.4,26.2,8.96,4.32,167,puntcua
28.7,28.3,10,3.66,91.4,puntcua
40.6,33.5,7.66,6.74,13.8,rods
25.4,20.2,8.38,3.85,148,puntcua
28.7,34.3,9.25,3.95,94.3,rods
35.5,40.1,14.2,3.18,45.7,rods
27,32,7.13,4.83,68.6,rods
37.2,26.2,10,4.73,53.3,rods
40.6,30.9,8.53,6.06,19.3,rods
40.6,49.6,12.2,4.22,172,rods
28.7,24.7,7.98,4.58,153,puntcua
33.8,27.6,9.41,4.57,6.54,puntcua
35.5,42.4,13,3.47,10.8,rods
35.5,34.6,12.8,3.53,59.6,rods
37.2,45.6,10.4,4.54,74.1,rods
28.7,27.3,9.32,3.93,76.1,puntcua
25.4,25.1,11.2,2.89,72.6,puntcua
30.4,19.1,6.88,5.63,148,puntcua
30.4,25.1,8.89,4.36,6.1,puntcua
30.4,28,7.34,5.28,68.5,puntcua
38.9,28,11.2,4.43,18.4,rods
30.4,35.4,6.92,5.59,119,rods
27,22.8,7.22,4.77,138,puntcua
32.1,35.4,11.6,3.52,20.3,rods
37.2,30.9,10.8,4.38,80.5,rods
27,23.6,10.3,3.33,24.4,puntcua
27,41.3,13.5,2.55,114,rods
32.1,45.3,12.1,3.37,68.4,rods
38.9,58.2,11,4.51,122,rods
27,25.4,7.8,4.42,178,puntcua
25.4,29.1,8.55,3.78,4.17,rods
38.9,58.6,12.1,4.08,28.8,rods
27,36.1,6.79,5.07,39,rods
33.8,28.3,11.5,3.74,147,puntcua
40.6,36.1,11.4,4.51,88.9,rods
35.5,38.3,9.87,4.58,37.5,rods
40.6,44.6,10.4,4.99,115,rods
33.8,39.8,7.73,5.56,14.7,rods
25.4,19.1,8.22,3.93,155,puntcua
28.7,26.5,9.92,3.69,128,puntcua
27,19.1,6.14,5.61,21.9,puntcua
32.1,49.8,8.76,4.67,17.2,rods
25.4,36.5,8.3,3.89,152,rods
38.9,34.6,9.98,4.96,166,rods
40.6,35.4,9.85,5.24,29.8,rods
27,30.9,9.63,3.57,65.2,rods
30.4,40.9,9.08,4.27,104,rods
28.7,25.4,8.4,4.36,72.6,puntcua
40.6,45.3,13.9,3.73,72.3,rods
28.7,25.4,9.9,3.69,35.1,puntcua
33.8,29.1,8.51,5.06,163,rods
28.7,38.6,8.94,4.09,76.6,rods
32.1,43.5,9.68,4.22,89.2,rods
30.4,33.2,13.2,2.94,173,rods
27,26.2,6.43,5.36,94.3,puntcua
37.2,38.3,11.9,3.98,54.8,rods
35.5,25.1,8.92,5.07,70.9,rods
35.5,37.2,8.85,5.11,10.6,rods
30.4,21.7,8.3,4.67,128,puntcua
30.4,26.9,8.88,4.36,62.9,puntcua
28.7,25.4,8.48,4.31,20.4,puntcua
37.2,49.5,12.3,3.85,91.1,rods
28.7,25.4,9.99,3.66,179,puntcua
25.4,30.9,7.4,4.36,47.3,rods
25.4,35.4,9.71,3.32,28.9,rods
37.2,23.6,7.68,6.16,1.62,rods
35.5,26.9,8.62,5.24,12.7,rods
40.6,40.1,14.1,3.66,38.4,rods
28.7,33.9,13.1,2.79,31,rods
38.9,38.4,8.63,5.73,143,rods
27,46.4,11.2,3.09,166,rods
30.4,33.5,7.82,4.95,150,rods
30.4,24.7,9.35,4.14,47.7,puntcua
30.4,38.7,11.2,3.46,1.22,rods
25.4,25.4,7.6,4.24,173,puntcua
28.7,27.3,9.37,3.9,75.4,puntcua
35.5,36.1,10.3,4.37,38.4,rods
38.9,33.2,13,3.8,157,rods
27,42.7,7.54,4.57,132,rods
32.1,31.7,7.6,5.38,49.6,rods
28.7,34.3,9.33,3.92,177,rods
30.4,24.3,7.92,4.89,6.48,puntcua
35.5,29.1,8.09,5.59,142,rods
28.7,30.9,8.59,4.26,21.8,rods
33.8,26.2,9.89,4.35,142,puntcua
35.5,41.7,9.58,4.71,65.2,rods
33.8,27.3,8.62,4.99,42.4,puntcua
33.8,37.5,9.22,4.67,59,rods
38.9,29.1,9.21,5.37,159,rods
37.2,54.2,14,3.38,168,rods
32.1,31.7,10.4,3.94,41.3,rods
25.4,24.3,7.66,4.22,141,puntcua
33.8,27.7,12.3,3.5,102,puntcua
37.2,46.1,9.14,5.18,47.2,rods
27,23.6,7.27,4.74,52.3,puntcua
30.4,27.3,10.2,3.8,15.4,puntcua
38.9,29.1,7.92,6.25,98.2,rods
27,28,10.9,3.16,61,puntcua
30.4,36.5,13.4,2.9,23.6,rods
25.4,21.7,8.28,3.9,6.31,puntcua
32.1,28,11.4,3.59,15.7,puntcua
30.4,36.5,10.3,3.77,29.4,rods
28.7,29.1,9,4.06,144,rods
30.4,40.1,12.3,3.16,35,rods
30.4,28.3,7.04,5.5,15.2,puntcua
27,39.8,7.88,4.37,89.2,rods
37.2,43.2,7.64,6.19,35.6,rods
27,18.1,6.87,5.01,160,puntcua
32.1,38.3,10.3,3.96,119,rods
37.2,33.5,7.04,6.73,110,rods
30.4,29.1,7.51,5.16,137,rods
40.6,25.1,11,4.72,9.02,rods
33.8,35.1,13.9,3.1,90.8,rods
30.4,33.5,9.45,4.1,38.7,rods
38.9,42,12.6,3.91,93.6,rods
27,25.4,7.61,4.52,172,puntcua
28.7,37.2,9.82,3.73,176,rods
33.8,34.6,8.92,4.83,32.8,rods
30.4,35.4,11.2,3.47,29.6,rods
25.4,30.9,9.73,3.32,42.5,rods
27,33.2,7.34,4.69,26,rods
25.4,30.2,7.23,4.46,77.1,rods
25.4,38.3,11.3,2.85,39.7,rods
33.8,37.2,9.94,4.33,39.7,rods
37.2,42.7,10.7,4.44,45.1,rods
35.5,43.5,10.4,4.35,122,rods
25.4,25.7,7.39,4.37,60,puntcua
27,32,11,3.14,73.6,rods
25.4,31.4,10.6,3.03,165,rods
38.9,37.2,10.2,4.87,64.6,rods
28.7,23.3,8.81,4.15,62,puntcua
33.8,34,13.1,3.29,74.9,rods
32.1,30.6,13.6,3,26.9,rods
25.4,19.1,6.59,4.9,178,puntcua
25.4,24.7,9.22,3.5,37.8,puntcua
38.9,42.1,16.7,2.96,69.7,rods
27,40.9,9.51,3.62,47.6,rods
25.4,19.1,6.54,4.94,54.6,puntcua
35.5,26.2,9.6,4.71,15.5,rods
30.4,43.5,12,3.24,27.9,rods
33.8,37.2,11.6,3.7,50.8,rods
25.4,27.3,10.7,3.03,110,puntcua
40.6,35.4,10.2,5.05,28.9,rods
25.4,18.8,7.35,4.39,17.1,puntcua
25.4,31.7,10.7,3.03,76.1,rods
25.4,21,7.8,4.14,26.9,puntcua
33.8,45.6,13.4,3.2,128,rods
30.4,30.9,10.2,3.79,39.3,rods
27,33.5,9.21,3.74,124,rods
38.9,27.3,10.5,4.7,43.3,rods
28.7,28,9.84,3.72,28.7,puntcua
35.5,24.7,10.3,4.39,30.1,rods
25.4,25.4,7.97,4.05,50.9,puntcua
35.5,32.8,10.4,4.33,41.6,rods
35.5,29.5,9.3,4.86,88.8,rods
27,30.9,9.54,3.61,129,rods
32.1,35.4,8.48,4.82,118,rods
28.7,28.3,10.2,3.59,54.7,puntcua
38.9,32.8,10.9,4.54,45.6,rods
40.6,32.5,13.1,3.94,4.79,rods
37.2,37.7,12.7,3.74,92.5,rods
35.5,41.7,11.6,3.91,33.9,rods
25.4,31.7,11.7,2.77,18.8,rods
37.2,33.5,13.2,3.58,56.3,rods
25.4,22.8,8.88,3.64,3.78,puntcua
40.6,31.7,11.3,4.56,167,rods
32.1,28,9.91,4.13,36.9,puntcua
27,35.4,8.98,3.83,76.5,rods
28.7,23.6,8.06,4.54,107,puntcua
33.8,33.5,10.5,4.09,23.9,rods
25.4,19.9,7.25,4.45,87.3,puntcua
25.4,27.3,8.45,3.82,18.7,puntcua
27,34.6,9.43,3.65,121,rods
25.4,32.5,10.7,3.01,72.1,rods
32.1,34.6,10.5,3.9,1.38,rods
32.1,35.1,11.3,3.63,113,rods
40.6,33.2,13.7,3.77,151,rods
28.7,38.3,10.2,3.58,94.5,rods
25.4,21.7,7.14,4.52,59.8,puntcua
37.2,29.1,8,5.92,56.8,rods
25.4,35.7,8.9,3.63,107,rods
30.4,40.1,9.36,4.14,38.6,rods
37.2,47.5,12.2,3.87,9.86,rods
37.2,35.1,11,4.29,175,rods
27,29.9,10.3,3.34,83,rods
37.2,38,9.16,5.17,135,rods
30.4,21.7,8.48,4.57,14.6,puntcua
30.4,26.2,8.96,4.32,167,puntcua
28.7,28.3,10,3.66,91.4,puntcua
37.2,40.1,9.06,5.22,102,rods
38.9,41.3,13.3,3.71,166,rods
40.6,33.5,7.66,6.74,13.8,rods
25.4,20.2,8.38,3.85,148,puntcua
37.2,26.2,10,4.73,53.3,rods
40.6,30.9,8.53,6.06,19.3,rods
28.7,24.7,7.98,4.58,153,puntcua
32.1,33.5,11.7,3.5,58.4,rods
28.7,30.9,8.06,4.54,78.8,rods
28.7,27.3,9.32,3.93,76.1,puntcua
35.5,26.2,9.31,4.85,99.5,rods
25.4,25.1,11.2,2.89,72.6,puntcua
27,19.1,6.54,5.27,136,puntcua
28.7,26.2,8.82,4.15,5.12,puntcua
35.5,28,10.7,4.22,20.6,rods
27,22.8,6.24,5.52,40.4,puntcua
30.4,35.4,6.92,5.59,119,rods
37.2,30.9,10.8,4.38,80.5,rods
27,23.6,10.3,3.33,24.4,puntcua
38.9,58.2,11,4.51,122,rods
40.6,36.5,8.58,6.02,90.9,rods
38.9,31.7,11.7,4.21,31.2,rods
38.9,58.6,12.1,4.08,28.8,rods
32.1,28.3,11.2,3.64,149,puntcua
32.1,34.6,9.24,4.42,43.9,rods
38.9,40.9,10.3,4.83,115,rods
25.4,19.1,8.22,3.93,155,puntcua
28.7,30.9,9.67,3.78,179,rods
27,19.1,6.14,5.61,21.9,puntcua
33.8,29.1,7.96,5.4,157,rods
33.8,29.1,10.8,3.98,175,rods
40.6,35.4,9.85,5.24,29.8,rods
38.9,44.3,14.1,3.51,72.7,rods
28.7,25.4,9.9,3.69,35.1,puntcua
38.9,37.7,13.6,3.63,61.9,rods
28.7,38.6,8.94,4.09,76.6,rods
28.7,27.3,9.25,3.96,48.5,puntcua
35.5,25.1,8.92,5.07,70.9,rods
38.9,42,14.1,3.52,39.5,rods
32.1,39.4,8.42,4.86,9.5,rods
27,23.6,7.51,4.58,124,puntcua
27,22.8,8.39,4.1,15.7,puntcua
25.4,26.9,10.4,3.1,9.22,puntcua
28.7,25.4,9.99,3.66,179,puntcua
37.2,23.6,7.68,6.16,1.62,rods
32.1,25.4,8.97,4.56,9.66,puntcua
38.9,46.4,14.9,3.32,30.1,rods
35.5,38.7,8.05,5.62,146,rods
25.4,36.1,9.57,3.37,4.11,rods
37.2,29.1,10,4.72,36.2,rods
28.7,27.3,9.37,3.9,75.4,puntcua
32.1,31.7,9.45,4.33,30.4,rods
37.2,30.6,12.6,3.74,159,rods
30.4,24.3,7.92,4.89,6.48,puntcua
32.1,23.6,6.88,5.94,139,puntcua
38.9,31.7,11.2,4.42,20.4,rods
30.4,27.3,9.53,4.06,140,puntcua
27,33.5,8.55,4.03,116,rods
27,21.7,6.22,5.53,17,puntcua
35.5,31.7,9.28,4.87,159,rods
32.1,31.7,10.4,3.94,41.3,rods
33.8,27.7,12.3,3.5,102,puntcua
25.4,22.8,6.7,4.82,57.1,puntcua
25.4,21.7,8.28,3.9,6.31,puntcua
32.1,28,11.4,3.59,15.7,puntcua
32.1,24.7,7.5,5.45,142,puntcua
35.5,26.5,9.74,4.64,29.2,rods
35.5,39.5,7.7,5.87,32.3,rods
25.4,17.3,7.03,4.59,158,puntcua
33.8,31.7,8.65,4.98,104,rods
28.7,30.9,11,3.31,121,rods
38.9,38.7,14.1,3.52,111,rods
30.4,29.1,10.9,3.56,157,rods
30.4,41.7,7.59,5.1,111,rods
37.2,34.6,10.1,4.7,138,rods
27,21,6.88,5,4.81,puntcua
35.5,30.6,10.6,4.28,89.2,rods
32.1,21.7,8.76,4.67,136,puntcua
37.2,38.3,10.7,4.44,146,rods
27,30.9,9.92,3.47,119,rods
32.1,32.8,11.6,3.53,114,rods
25.4,22.5,7.56,4.27,93.9,puntcua
30.4,28,9.99,3.88,34.3,puntcua
35.5,37.2,7.64,5.91,167,rods
30.4,37.2,12.8,3.03,88.3,rods
27,29.1,8.76,3.93,2.79,rods
33.8,31.4,10.8,3.99,113,rods
35.5,28,11.9,3.81,119,rods
33.8,33.5,12.5,3.45,110,rods
37.2,47.2,9.59,4.93,155,rods
33.8,30.9,10.9,3.94,116,rods
38.9,40.9,12.3,4.03,115,rods
38.9,29.9,11.7,4.25,1.16,rods
30.4,28.3,7.84,4.94,3.68,puntcua
37.2,41.7,14,3.37,99.7,rods
25.4,26.2,7.44,4.34,99.4,puntcua
35.5,29.9,10.2,4.42,3.77,rods
37.2,31.7,10.2,4.66,72.9,rods
33.8,27.3,9.93,4.33,171,puntcua
25.4,20.7,7.59,4.25,174,puntcua
27,30.9,9.18,3.75,139,rods
35.5,29.1,10.4,4.34,11.4,rods
25.4,21.7,6.84,4.72,74,puntcua
27,22.5,8.16,4.22,100,puntcua
37.2,40.9,13,3.64,174,rods
33.8,35.4,12,3.59,146,rods
27,21,8.14,4.23,132,puntcua
32.1,33.1,13,3.16,51.4,rods
33.8,33.5,9.97,4.32,103,rods
28.7,22.8,8.13,4.5,6.97,puntcua
35.5,24.3,8.92,5.07,59.9,rods
30.4,23.6,7.84,4.94,113,puntcua
25.4,24.3,8.04,4.02,21.5,puntcua
25.4,38.3,9.48,3.41,163,rods
33.8,25.4,8.03,5.36,152,puntcua
27,24.7,6.69,5.14,174,puntcua
27,29.9,11.7,2.95,60.7,rods
40.6,30.6,10.6,4.86,95.7,rods
27,27.3,7.87,4.38,119,puntcua
40.6,32.5,12.9,3.99,98.3,rods
27,27.3,8.96,3.84,75.8,puntcua
33.8,35.4,12.5,3.46,89.6,rods
33.8,28.3,11.6,3.72,55.6,puntcua
32.1,38,8.86,4.61,17.1,rods
25.4,21.4,8.44,3.82,165,puntcua
25.4,32.5,9.8,3.29,96.2,rods
32.1,27.3,9.87,4.14,126,puntcua
28.7,24.7,8.74,4.18,29.6,puntcua
33.8,28,11,3.9,25.1,puntcua
32.1,42.3,9.99,4.09,68.7,rods
25.4,17.3,6.81,4.74,118,puntcua
33.8,23.6,8.74,4.92,131,puntcua
28.7,26.2,9.38,3.9,85.4,puntcua
28.7,26.9,6.62,5.53,121,puntcua
35.5,40.1,8.9,5.08,57.7,rods
33.8,32.8,10.5,4.11,113,rods
25.4,25.1,11.1,2.91,165,puntcua
40.6,29.9,12.6,4.11,152,rods
33.8,32.8,9.93,4.33,69.2,rods
28.7,20.7,7.85,4.66,52.1,puntcua
38.9,29.1,11.4,4.36,8.69,rods
38.9,28.3,12.1,4.09,48.1,rods
32.1,30.9,10.2,4,148,rods
30.4,24.3,8.8,4.4,83,puntcua
32.1,22.5,7.74,5.28,80.2,puntcua
25.4,25.1,10.2,3.17,22.6,puntcua
38.9,26.2,9.56,5.18,27,rods
32.1,26.2,9.58,4.27,67.6,puntcua
32.1,24.3,10.1,4.06,16.2,puntcua
32.1,46.1,9.34,4.38,18.1,rods
37.2,32.8,11.2,4.23,22.9,rods
30.4,27.3,7.51,5.16,136,puntcua
38.9,35.4,13.1,3.79,109,rods
27,27.3,7.82,4.4,29,puntcua
30.4,30.9,10.1,3.83,41,rods
32.1,30.9,11.5,3.54,98.6,rods
32.1,19.9,7.96,5.14,163,puntcua
27,21,8.73,3.95,34.6,puntcua
28.7,25.7,7.5,4.88,30.2,puntcua
25.4,19.1,7.49,4.31,168,puntcua
33.8,26.2,9.44,4.56,66.7,puntcua
40.6,28,11.5,4.5,66.4,rods
30.4,29.1,9.11,4.25,14.7,rods
35.5,25.1,10.4,4.34,9.18,rods
33.8,22.5,9.31,4.62,10.1,puntcua
37.2,35.1,13.9,3.42,19.8,rods
37.2,34.3,8.79,5.38,45.5,rods
25.4,21,7.86,4.1,29.1,puntcua
32.1,31.7,9.7,4.21,135,rods
32.1,26.5,12,3.39,35.4,puntcua
38.9,54.2,14.5,3.42,154,rods
25.4,21,7.43,4.34,15.3,puntcua
27,25.4,9.5,3.63,21,puntcua
35.5,29.5,11.2,4.02,68,rods
27,28,9.84,3.5,96.6,puntcua
30.4,23.6,10.9,3.56,121,puntcua
32.1,24.3,9.96,4.11,172,puntcua
40.6,36.1,14,3.68,134,rods
30.4,32.5,11.2,3.46,160,rods
25.4,20.7,8.35,3.87,973,puntcua
28.7,22.8,8.08,4.53,164,puntcua
30.4,22.8,8.08,4.8,169,puntcua
28.7,27.3,10.6,3.45,45.5,puntcua
28.7,25.1,7.47,4.9,22.9,puntcua
38.9,38.7,14.1,3.52,111,rods
30.4,29.1,10.9,3.56,157,rods
30.4,41.7,7.59,5.1,111,rods
37.2,34.6,10.1,4.7,138,rods
27,21,6.88,5,4.81,puntcua
35.5,30.6,10.6,4.28,89.2,rods
32.1,21.7,8.76,4.67,136,puntcua
37.2,38.3,10.7,4.44,146,rods
27,30.9,9.92,3.47,119,rods
32.1,32.8,11.6,3.53,114,rods
25.4,22.5,7.56,4.27,93.9,puntcua
30.4,28,9.99,3.88,34.3,puntcua
35.5,37.2,7.64,5.91,167,rods
30.4,37.2,12.8,3.03,88.3,rods
27,29.1,8.76,3.93,2.79,rods
33.8,31.4,10.8,3.99,113,rods
35.5,28,11.9,3.81,119,rods
33.8,33.5,12.5,3.45,110,rods
37.2,47.2,9.59,4.93,155,rods
33.8,30.9,10.9,3.94,116,rods
38.9,40.9,12.3,4.03,115,rods
38.9,29.9,11.7,4.25,1.16,rods
30.4,28.3,7.84,4.94,3.68,puntcua
37.2,41.7,14,3.37,99.7,rods
25.4,26.2,7.44,4.34,99.4,puntcua
35.5,29.9,10.2,4.42,3.77,rods
37.2,31.7,10.2,4.66,72.9,rods
33.8,27.3,9.93,4.33,171,puntcua
25.4,20.7,7.59,4.25,174,puntcua
27,30.9,9.18,3.75,139,rods
35.5,29.1,10.4,4.34,11.4,rods
25.4,21.7,6.84,4.72,74,puntcua
27,22.5,8.16,4.22,100,puntcua
37.2,40.9,13,3.64,174,rods
33.8,35.4,12,3.59,146,rods
27,21,8.14,4.23,132,puntcua
32.1,33.1,13,3.16,51.4,rods
33.8,33.5,9.97,4.32,103,rods
28.7,22.8,8.13,4.5,6.97,puntcua
35.5,24.3,8.92,5.07,59.9,rods
30.4,23.6,7.84,4.94,113,puntcua
25.4,24.3,8.04,4.02,21.5,puntcua
25.4,38.3,9.48,3.41,163,rods
33.8,25.4,8.03,5.36,152,puntcua
27,24.7,6.69,5.14,174,puntcua
27,29.9,11.7,2.95,60.7,rods
40.6,30.6,10.6,4.86,95.7,rods
27,27.3,7.87,4.38,119,puntcua
40.6,32.5,12.9,3.99,98.3,rods
27,27.3,8.96,3.84,75.8,puntcua
33.8,35.4,12.5,3.46,89.6,rods
33.8,28.3,11.6,3.72,55.6,puntcua
32.1,38,8.86,4.61,17.1,rods
25.4,21.4,8.44,3.82,165,puntcua
25.4,32.5,9.8,3.29,96.2,rods
32.1,27.3,9.87,4.14,126,puntcua
28.7,24.7,8.74,4.18,29.6,puntcua
33.8,28,11,3.9,25.1,puntcua
32.1,42.3,9.99,4.09,68.7,rods
25.4,17.3,6.81,4.74,118,puntcua
33.8,23.6,8.74,4.92,131,puntcua
